,DMSO_1,DMSO_2,DMSO_3,DMSO_4,PB_1,PB_2,PB_3,PB_4,RA_1,RA_2,RA_3,RA_4,PB+RA_1,PB+RA_2,PB+RA_3,PB+RA_4
A1BG,130,103,163,107,145,135,135,137,115,122,132,112,203,187,160,126
A1BG-AS1,222,148,272,210,152,171,181,215,156,147,206,153,206,176,255,209
A2M,0,0,2,1,1,8,0,5,1,2,6,3,7,22,7,5
A2M-AS1,1,0,1,0,0,1,0,2,0,3,0,1,1,2,2,2
A2ML1,1,1,1,4,5,6,8,12,3,3,1,2,3,8,1,5
A3GALT2,1,0,0,0,0,0,0,1,1,0,0,1,0,2,2,0
A4GALT,4,3,4,2,2,2,1,0,5,0,11,7,7,6,4,7
A4GNT,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
AAAS,2928,2643,3159,2654,1725,1563,1673,1893,2284,2317,2300,2066,1744,1661,1869,1496
AACS,1369,1238,1621,1342,2049,1867,1609,1699,1180,1331,1364,1099,1989,1723,1614,1334
AACSP1,233,176,232,200,299,239,182,253,182,206,228,180,322,279,222,189
AADAC,3,0,0,2,0,1,4,2,0,2,1,3,3,0,6,7
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AADACL4,0,2,3,4,2,2,0,1,12,42,44,38,16,19,21,28
AADACP1,0,0,0,0,0,3,0,1,1,0,0,0,2,1,0,2
AADAT,673,560,761,613,676,581,660,642,576,614,688,578,684,599,679,527
AAGAB,3018,2580,3380,2722,2618,2204,2178,2469,2720,2593,2848,2439,2481,2429,2537,2024
AAK1,819,636,1093,947,1113,791,895,1054,778,741,963,818,1030,870,1313,1112
AAMDC,544,415,743,551,371,315,394,400,676,568,718,673,569,482,732,592
AAMP,3424,3050,3665,2929,3132,3102,2343,2592,2569,2717,2436,2168,3437,3236,2718,2258
AANAT,6,5,5,4,7,3,5,1,4,4,5,7,13,4,8,7
AAR2,1902,1695,2077,1816,1647,1521,1552,1632,1754,1706,1888,1537,2036,1747,1856,1533
AARS1,8162,7543,8888,7625,4816,4514,5058,5229,6179,6944,7224,6134,5022,4282,5533,4217
AARS2,6835,4903,6134,5013,6386,5098,5191,4927,3233,2735,3232,2628,4743,3670,4355,2934
AARSD1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AARSD1P1,5,3,0,4,1,0,0,1,1,4,1,0,2,0,0,0
AASDH,393,360,462,391,456,355,372,429,339,327,377,315,429,392,434,348
AASDHPPT,3135,2976,3639,3064,3085,2360,2656,3006,2762,2668,2914,2603,2486,2621,2908,2434
AASS,194,175,386,279,97,80,146,141,137,251,341,247,63,93,137,148
AATBC,9,6,9,7,10,7,9,10,9,8,10,9,4,9,8,2
