GeneId	shNC-1	shNC-2	shMIB1-1	shMIB1-2
ENSG00000000003	409	516	573	370
ENSG00000000005	0	0	0	0
ENSG00000000419	785	916	832	549
ENSG00000000457	134	184	190	175
ENSG00000000460	303	363	301	241
ENSG00000000938	0	1	0	0
ENSG00000000971	6	10	7	8
ENSG00000001036	1044	1063	1298	862
ENSG00000001084	1319	1709	1724	1342
ENSG00000001167	781	990	873	835
ENSG00000001460	250	334	334	395
ENSG00000001461	324	479	611	616
ENSG00000001497	1026	1230	1012	813
ENSG00000001561	373	578	480	552
ENSG00000001617	389	492	403	522
ENSG00000001626	0	0	1	1
ENSG00000001629	944	1488	1461	1444
ENSG00000001630	1480	2184	1477	1596
ENSG00000001631	370	446	405	338
ENSG00000002016	222	280	305	285
ENSG00000002079	29	42	51	74
ENSG00000002330	535	362	575	450
ENSG00000002549	1224	1571	1350	1269
ENSG00000002586	491	564	580	563
ENSG00000002587	1269	1488	2029	1427
ENSG00000002726	8	14	18	22
ENSG00000002745	1203	2233	1135	1548
ENSG00000002746	70	91	110	128
ENSG00000002822	509	580	530	548
ENSG00000002834	4119	5110	6014	5423
ENSG00000002919	471	434	532	464
ENSG00000002933	0	0	0	0
ENSG00000003056	1939	2237	2267	1516
ENSG00000003096	101	136	138	107
ENSG00000003137	306	351	517	456
ENSG00000003147	144	209	225	156
ENSG00000003249	1222	1333	1478	1404
ENSG00000003393	840	1182	1027	1067
ENSG00000003400	65	94	96	94
ENSG00000003402	237	368	488	427
ENSG00000003436	188	359	527	422
ENSG00000003509	199	251	230	180
ENSG00000003756	988	1221	1429	1044
ENSG00000003987	3	1	1	2
ENSG00000003989	546	747	478	437
ENSG00000004059	1848	1582	1999	1492
ENSG00000004139	12	14	11	10
ENSG00000004142	1656	1735	2043	1427
ENSG00000004399	877	951	766	901
ENSG00000004455	3861	4208	3925	2772
ENSG00000004468	0	2	0	1
ENSG00000004478	4991	5501	5702	3946
ENSG00000004487	4094	4991	4551	3162
ENSG00000004534	1259	1454	1260	1093
ENSG00000004660	188	210	204	179
ENSG00000004700	567	729	483	452
ENSG00000004766	267	369	304	244
ENSG00000004776	0	0	1	2
ENSG00000004777	157	143	172	172
ENSG00000004779	1285	1169	1467	777
ENSG00000004799	73	115	86	53
ENSG00000004809	1	1	1	0
ENSG00000004838	19	14	13	17
ENSG00000004846	1	1	1	1
ENSG00000004848	6	4	0	2
ENSG00000004864	283	280	328	220
ENSG00000004866	295	302	350	263
ENSG00000004897	2771	3781	3247	2637
ENSG00000004939	0	0	0	0
ENSG00000004948	0	1	7	9
ENSG00000004961	541	610	725	450
ENSG00000004975	995	1191	1130	1089
ENSG00000005001	57	47	37	38
ENSG00000005007	2552	2726	2886	2391
ENSG00000005020	861	1725	1187	1632
ENSG00000005022	7025	8042	6331	5152
ENSG00000005059	318	312	307	253
ENSG00000005073	151	127	152	96
ENSG00000005075	745	683	802	560
ENSG00000005100	977	1276	1102	853
ENSG00000005102	5	1	2	0
ENSG00000005108	0	2	15	16
ENSG00000005156	668	916	907	795
ENSG00000005175	532	493	594	335
ENSG00000005187	205	261	154	173
ENSG00000005189	131	128	115	115
ENSG00000005194	1150	1210	1451	913
ENSG00000005206	494	413	524	512
ENSG00000005238	186	254	285	469
ENSG00000005243	0	0	1	1
ENSG00000005249	359	501	290	292
ENSG00000005302	171	180	171	152
ENSG00000005339	996	1495	1330	1394
ENSG00000005379	1	2	0	2
ENSG00000005381	1	1	0	1
ENSG00000005421	1	0	0	0
ENSG00000005436	281	357	337	240
ENSG00000005448	407	445	407	401
ENSG00000005469	0	0	1	0
ENSG00000005471	1	0	1	0
ENSG00000005483	797	1219	1099	1084
ENSG00000005486	653	776	756	797
ENSG00000005513	208	134	114	94
ENSG00000005700	1072	1452	1772	1346
ENSG00000005801	451	576	559	421
ENSG00000005810	1236	1614	1537	1337
ENSG00000005812	305	505	395	403
ENSG00000005844	4	2	4	3
ENSG00000005882	540	710	637	701
ENSG00000005884	8141	11040	14987	19438
ENSG00000005889	304	508	402	391
ENSG00000005893	967	1415	1271	1244
ENSG00000005961	43	35	40	60
ENSG00000005981	0	1	0	2
ENSG00000006007	1090	1299	1537	1303
ENSG00000006015	306	152	361	153
ENSG00000006016	447	389	365	414
ENSG00000006025	210	202	270	261
ENSG00000006042	426	513	480	446
ENSG00000006047	6	11	9	15
ENSG00000006059	0	0	0	0
ENSG00000006062	368	355	538	445
ENSG00000006071	1	4	2	2
ENSG00000006116	0	0	0	0
ENSG00000006118	848	535	941	687
ENSG00000006125	5250	7404	7283	6157
ENSG00000006128	0	0	0	0
ENSG00000006194	632	668	786	528
ENSG00000006210	0	0	1	0
ENSG00000006282	916	874	1043	998
ENSG00000006283	152	162	154	231
ENSG00000006327	1622	1112	1983	1257
ENSG00000006377	0	0	0	0
ENSG00000006432	495	754	653	765
ENSG00000006451	988	1288	1185	914
ENSG00000006453	1577	2102	2177	2091
ENSG00000006459	266	383	492	517
ENSG00000006468	264	465	351	347
ENSG00000006530	689	838	834	652
ENSG00000006534	260	290	437	328
ENSG00000006555	56	20	47	18
ENSG00000006576	712	969	772	717
ENSG00000006606	6	3	3	2
ENSG00000006607	865	1187	1132	1048
ENSG00000006611	254	309	279	406
ENSG00000006625	781	748	647	379
ENSG00000006634	714	967	798	591
ENSG00000006638	40	61	54	56
ENSG00000006652	535	597	565	458
ENSG00000006659	0	0	0	0
ENSG00000006695	406	618	378	374
ENSG00000006704	529	692	682	696
ENSG00000006712	1253	1524	1474	1339
ENSG00000006715	895	1149	936	893
ENSG00000006740	208	260	230	242
ENSG00000006744	1841	2389	2269	1895
ENSG00000006747	3	8	12	15
ENSG00000006756	132	176	172	196
ENSG00000006757	190	220	197	172
ENSG00000006788	0	0	1	1
ENSG00000006831	1993	2888	2481	2496
ENSG00000006837	16	15	17	3
ENSG00000007001	0	0	0	0
ENSG00000007038	0	0	0	0
ENSG00000007047	763	860	893	971
ENSG00000007062	382	401	445	242
ENSG00000007080	1528	1409	1457	1123
ENSG00000007129	1	1	0	0
ENSG00000007168	1802	2739	1949	1965
ENSG00000007171	1	1	5	2
ENSG00000007174	0	2	0	2
ENSG00000007202	4417	7084	5224	5367
ENSG00000007216	0	0	0	0
ENSG00000007237	148	230	140	241
ENSG00000007255	110	95	98	96
ENSG00000007264	0	0	0	0
ENSG00000007306	0	0	0	0
ENSG00000007312	3	3	5	2
ENSG00000007314	35	62	24	107
ENSG00000007341	81	92	89	54
ENSG00000007350	2	5	4	4
ENSG00000007372	49	57	58	65
ENSG00000007376	1284	1183	1434	1029
ENSG00000007384	169	215	265	298
ENSG00000007392	501	452	604	367
ENSG00000007402	370	359	355	387
ENSG00000007516	430	408	390	657
ENSG00000007520	425	360	434	370
ENSG00000007541	214	160	213	218
ENSG00000007545	531	650	639	574
ENSG00000007866	459	561	606	608
ENSG00000007908	0	0	0	0
ENSG00000007923	1643	2029	2073	1628
ENSG00000007933	0	0	0	0
ENSG00000007944	212	222	300	240
ENSG00000007952	0	0	0	0
ENSG00000007968	599	625	491	327
ENSG00000008018	3480	3730	4250	2771
ENSG00000008056	3	4	3	7
ENSG00000008083	711	1096	948	1209
ENSG00000008086	112	163	151	175
ENSG00000008118	0	0	0	1
ENSG00000008128	571	553	604	559
ENSG00000008130	1425	1603	1659	1384
ENSG00000008196	0	0	0	0
ENSG00000008197	0	0	0	0
ENSG00000008226	1	2	2	4
ENSG00000008256	554	797	650	733
ENSG00000008277	271	329	318	287
ENSG00000008282	1239	1801	1578	1301
ENSG00000008283	1205	1145	1233	1059
ENSG00000008294	2338	3161	2745	2852
ENSG00000008300	217	240	323	285
ENSG00000008311	90	135	85	115
ENSG00000008323	403	590	472	646
ENSG00000008324	197	206	236	145
ENSG00000008382	201	196	246	194
ENSG00000008394	1056	1576	1315	1201
ENSG00000008405	410	537	390	379
ENSG00000008438	0	0	0	0
ENSG00000008441	518	398	554	447
ENSG00000008513	585	795	670	867
ENSG00000008516	16	16	19	17
ENSG00000008517	0	1	0	3
ENSG00000008710	1217	1173	1412	1284
ENSG00000008735	307	257	297	287
ENSG00000008838	1568	1778	1770	1551
ENSG00000008853	344	408	355	401
ENSG00000008869	393	554	478	516
ENSG00000008952	1035	1556	1320	1207
ENSG00000008988	9730	8465	12129	7073
ENSG00000009307	7867	10634	9374	6848
ENSG00000009335	2126	3031	2843	2571
ENSG00000009413	530	698	756	556
ENSG00000009694	0	0	0	1
ENSG00000009709	1	1	1	3
ENSG00000009724	1	5	1	3
ENSG00000009765	3	0	0	0
ENSG00000009780	118	166	119	121
ENSG00000009790	0	1	0	0
ENSG00000009830	455	482	435	413
ENSG00000009844	1238	1748	1504	1151
ENSG00000009950	446	447	404	558
ENSG00000009954	2867	3419	3156	2149
ENSG00000010017	1025	1404	935	895
ENSG00000010030	17	13	4	8
ENSG00000010072	296	410	330	284
ENSG00000010165	848	933	829	695
ENSG00000010219	187	224	242	156
ENSG00000010244	3073	3777	3505	2895
ENSG00000010256	3460	3741	3422	3094
ENSG00000010270	479	672	578	514
ENSG00000010278	2565	2889	2752	2508
ENSG00000010282	0	0	1	1
ENSG00000010292	3057	3108	2767	2071
ENSG00000010295	1	3	6	7
ENSG00000010310	47	60	82	124
ENSG00000010318	53	85	50	49
ENSG00000010319	108	112	127	85
ENSG00000010322	1144	1370	1436	1559
ENSG00000010327	3	0	3	3
ENSG00000010361	4	7	9	5
ENSG00000010379	0	2	0	6
ENSG00000010404	1157	1817	1444	1727
ENSG00000010438	602	701	752	745
ENSG00000010539	220	226	226	156
ENSG00000010610	0	0	0	0
ENSG00000010626	96	91	57	84
ENSG00000010671	20	19	12	13
ENSG00000010704	166	193	227	152
ENSG00000010803	344	421	380	414
ENSG00000010810	265	405	276	392
ENSG00000010818	282	513	445	627
ENSG00000010932	0	0	0	0
ENSG00000011007	1308	1935	1894	1454
ENSG00000011009	1396	1634	1953	1941
ENSG00000011021	184	193	228	266
ENSG00000011028	464	313	523	465
ENSG00000011052	1123	1290	1009	1163
ENSG00000011083	0	0	0	0
ENSG00000011105	443	479	406	490
ENSG00000011114	624	985	791	935
ENSG00000011132	288	356	339	334
ENSG00000011143	378	420	412	355
ENSG00000011198	306	381	349	268
ENSG00000011201	0	0	0	0
ENSG00000011243	1458	1798	1749	1815
ENSG00000011258	538	571	665	505
ENSG00000011260	1566	1783	1729	1157
ENSG00000011275	1283	1583	1574	1488
ENSG00000011295	838	955	1052	743
ENSG00000011304	8158	8391	7574	5952
ENSG00000011332	140	167	124	116
ENSG00000011347	939	1213	811	1104
ENSG00000011376	803	1110	943	836
ENSG00000011405	1047	1659	941	1044
ENSG00000011422	632	687	761	776
ENSG00000011426	3243	4647	4096	3039
ENSG00000011451	736	825	909	834
ENSG00000011454	632	818	755	690
ENSG00000011465	0	0	0	1
ENSG00000011478	147	152	142	166
ENSG00000011485	1909	2203	2031	1681
ENSG00000011523	405	566	474	505
ENSG00000011566	437	687	356	385
ENSG00000011590	0	0	1	0
ENSG00000011600	0	0	0	0
ENSG00000011638	270	314	311	277
ENSG00000011677	0	0	0	0
ENSG00000012048	836	1012	781	522
ENSG00000012061	864	1059	1008	1275
ENSG00000012124	49	66	69	110
ENSG00000012171	194	108	167	100
ENSG00000012174	426	610	408	399
ENSG00000012211	324	431	368	417
ENSG00000012223	3	1	0	1
ENSG00000012232	1670	2557	2003	2674
ENSG00000012504	1	0	0	0
ENSG00000012660	1210	1536	1318	1301
ENSG00000012779	81	86	58	131
ENSG00000012817	0	0	0	1
ENSG00000012822	343	453	459	755
ENSG00000012963	1014	1276	1188	851
ENSG00000012983	326	273	401	220
ENSG00000013016	0	0	0	1
ENSG00000013275	2333	2552	2757	2198
ENSG00000013288	594	792	658	872
ENSG00000013293	0	0	0	0
ENSG00000013297	0	0	1	0
ENSG00000013306	5036	5900	5960	6150
ENSG00000013364	1992	2493	3004	3713
ENSG00000013374	822	886	805	644
ENSG00000013375	1086	1392	1248	1137
ENSG00000013392	132	137	121	104
ENSG00000013441	397	568	619	510
ENSG00000013503	352	473	448	344
ENSG00000013523	466	613	554	599
ENSG00000013561	569	814	610	612
ENSG00000013563	189	224	221	344
ENSG00000013573	1295	1213	1401	1029
ENSG00000013583	455	395	521	428
ENSG00000013588	7680	11789	14666	12187
ENSG00000013619	199	229	204	217
ENSG00000013725	0	0	0	0
ENSG00000013810	2845	3328	2884	2517
ENSG00000014123	411	702	542	569
ENSG00000014138	305	335	324	246
ENSG00000014164	626	702	647	803
ENSG00000014216	3822	4765	4270	5194
ENSG00000014257	7	9	12	10
ENSG00000014641	3379	4002	4196	3136
ENSG00000014824	1292	1818	1504	1411
ENSG00000014914	141	129	138	122
ENSG00000014919	1516	1745	1729	1209
ENSG00000015133	486	736	625	734
ENSG00000015153	123	207	115	162
ENSG00000015171	529	693	815	467
ENSG00000015285	3	7	12	16
ENSG00000015413	375	722	622	898
ENSG00000015475	580	557	643	442
ENSG00000015479	4067	6185	4367	3485
ENSG00000015520	1	4	4	7
ENSG00000015532	867	1018	829	1083
