"GeneLength","gene","GeneID","C.G"
981,"OR4F5","79501",0.426095820591233
1398,"LOC112268260","112268260",0.65379113018598
939,"OR4F29","729759",0.460063897763578
2253,"LOC105378947","105378947",0.689747003994674
939,"OR4F16","81399",0.460063897763578
2538,"SAMD11","148398",0.700945626477541
2250,"NOC2L","26155",0.603111111111111
1929,"KLHL17","339451",0.662519440124417
1992,"PLEKHN1","84069",0.666666666666667
2373,"PERM1","84808",0.660345554150864
744,"HES4","57801",0.751344086021505
498,"ISG15","9636",0.654618473895582
6207,"AGRN","375790",0.684227485097471
750,"RNF223","401934",0.712
1143,"C1orf159","54991",0.653543307086614
2400,"TTLL10","254173",0.654583333333333
1044,"TNFRSF18","8784",0.687739463601533
924,"TNFRSF4","7293",0.70021645021645
1089,"SDF4","51150",0.60514233241506
990,"B3GALT6","126792",0.753535353535354
1014,"C1QTNF12","388581",0.690335305719921
879,"UBE2J2","118424",0.54835039817975
2409,"SCNN1D","6339",0.666251556662516
2535,"ACAP3","116983",0.643786982248521
1185,"PUSL1","126789",0.650632911392405
1983,"INTS11","54973",0.609178013111447
645,"CPTP","80772",0.654263565891473
2685,"TAS1R3","83756",0.665176908752328
2088,"DVL1","1855",0.659003831417625
1353,"MXRA8","54587",0.687361419068736
600,"AURKAIP1","54998",0.651666666666667
1662,"CCNL2","81669",0.584235860409146
450,"MRPL20","55052",0.528888888888889
1200,"ANKRD65","441869",0.748333333333333
492,"TMEM88B","643965",0.758130081300813
987,"LOC107985729","107985729",0.641337386018237
1338,"VWA1","64856",0.717488789237668
1236,"ATAD3C","219293",0.61084142394822
2091,"ATAD3B","83858",0.641319942611191
1905,"ATAD3A","55210",0.640419947506562
522,"TMEM240","339453",0.637931034482759
585,"SSU72","29101",0.524786324786325
681,"FNDC10","643988",0.776798825256975
3804,"MIB2","142678",0.70583596214511
1173,"MMP23B","8510",0.704177323103154
2415,"CDK11B","984",0.571428571428571
1218,"SLC35E2B","728661",0.580459770114943
2352,"CDK11A","728642",0.568877551020408
1776,"NADK","65220",0.608671171171171
1023,"GNB1","2782",0.560117302052786
612,"CALML6","163688",0.558823529411765
723,"TMEM52","339456",0.681881051175657
4920,"CFAP74","85452",0.590243902439024
2064,"GABRD","2563",0.633236434108527
1812,"PRKCZ","5590",0.577814569536424
1011,"FAAP20","199990",0.623145400593472
2193,"SKI","6497",0.681258549931601
1494,"MORN1","79906",0.634538152610442
591,"RER1","11079",0.495769881556684
1041,"PEX10","5192",0.66954851104707
5013,"PLCH2","9651",0.651705565529623
2322,"PANK4","55229",0.601205857019811
597,"HES5","388585",0.730318257956449
852,"TNFRSF14","8764",0.620892018779343
813,"PRXL2B","127281",0.662976629766298
2340,"MMEL1","79258",0.593162393162393
3240,"TTC34","100287898",0.704320987654321
1134,"ACTRT2","140625",0.613756613756614
1674,"LOC124903827","124903827",0.717443249701314
3831,"PRDM16","63976",0.625946228138867
1164,"LOC124903828","124903828",0.65979381443299
2181,"ARHGEF16","27237",0.635946813388354
4683,"MEGF6","1953",0.673713431560965
819,"TPRG1L","127262",0.595848595848596
1383,"WRAP73","49856",0.578452639190166
1911,"TP73","7161",0.63526949241235
1971,"CCDC27","148870",0.577371892440386
237,"SMIM1","388588",0.607594936708861
1752,"LRRC47","57470",0.638698630136986
2904,"CEP104","9731",0.486225895316804
1089,"DFFB","1677",0.583103764921947
765,"C1orf174","339448",0.524183006535948
1236,"AJAP1","55966",0.636731391585761
4281,"NPHP4","261734",0.607334734875029
1248,"KCNAB2","8514",0.592147435897436
5865,"CHD5","26038",0.593179880647911
387,"RPL22","6146",0.439276485788114
1971,"RNF207","388591",0.626585489599188
855,"ICMT","23463",0.548538011695906
561,"HES3","390992",0.693404634581105
1830,"GPR153","387509",0.698907103825137
1143,"ACOT7","11332",0.609798775153106
522,"HES2","54626",0.733716475095785
4026,"ESPN","83715",0.699453551912568
1281,"TNFRSF25","8718",0.660421545667447
3228,"PLEKHG5","57449",0.644052044609665
2109,"NOL9","79707",0.508297771455666
2526,"TAS1R1","80835",0.581155977830562
2067,"ZBTB48","3104",0.593130140299952
1794,"KLHL21","9903",0.686176142697882
930,"PHF13","148479",0.560215053763441
741,"THAP3","90326",0.595141700404858
1680,"DNAJC11","55735",0.530357142857143
5043,"CAMTA1","23261",0.570097164386278
1071,"LOC124900385","124900385",0.563025210084034
303,"VAMP3","9341",0.471947194719472
3633,"PER3","8863",0.51252408477842
420,"UTS2","10911",0.428571428571429
768,"TNFRSF9","3604",0.4921875
570,"PARK7","11315",0.498245614035088
1389,"ERRFI1","54206",0.470842332613391
2271,"SLC45A1","50651",0.630559225011008
4701,"RERE","473",0.609870240374388
1305,"ENO1","2023",0.532567049808429
975,"CA6","765",0.552820512820513
1554,"SLC2A7","155184",0.604890604890605
1506,"SLC2A5","6518",0.569057104913679
1008,"GPR157","80045",0.654761904761905
2409,"H6PD","9563",0.621834786218348
822,"SPSB1","80176",0.599756690997567
966,"SLC25A33","84275",0.462732919254658
2298,"TMEM201","199953",0.65230635335074
1029,"LOC124903837","124903837",0.565597667638484
3135,"PIK3CD","5293",0.607017543859649
2946,"CLSTN1","22883",0.561778682959946
414,"CTNNBIP1","56998",0.603864734299517
636,"LZIC","84328",0.40251572327044
840,"NMNAT1","64802",0.460714285714286
483,"LOC124903840","124903840",0.708074534161491
405,"RBP7","116362",0.474074074074074
4062,"UBE4B","10277",0.500246184145741
5451,"KIF1B","23095",0.484865162355531
1452,"PGD","5226",0.526170798898072
495,"CENPS-CORT","100526739",0.531313131313131
417,"CENPS","378708",0.448441247002398
318,"CORT","1325",0.650943396226415
996,"DFFA","1676",0.55421686746988
1212,"PEX14","5195",0.617986798679868
5652,"CASZ1","54897",0.647204529370135
2472,"C1orf127","148345",0.603559870550162
1245,"TARDBP","23435",0.470682730923695
2061,"MASP2","10747",0.524502668607472
909,"SRM","6723",0.618261826182618
2673,"EXOSC10","5394",0.493453049008605
7650,"MTOR","2475",0.531372549019608
1041,"ANGPTL7","10218",0.547550432276657
1017,"UBIAD1","29914",0.576204523107178
4179,"DISP3","57540",0.624790619765494
891,"FBXO2","26232",0.672278338945006
771,"FBXO44","93611",0.623865110246433
882,"FBXO6","26270",0.586167800453515
636,"MAD2L2","10459",0.553459119496855
1050,"DRAXIN","374946",0.629523809523809
516,"AGTRAP","57085",0.60077519379845
4605,"C1orf167","284498",0.647557003257329
2094,"MTHFR","4524",0.579751671442216
2610,"CLCN6","1185",0.546743295019157
456,"NPPA","4878",0.589912280701754
405,"NPPB","4879",0.632098765432099
